Date,Close
10-26-2016,687.88
10-27-2016,688.43
10-28-2016,720.19
10-29-2016,714.91
10-30-2016,707.21
10-31-2016,734.36
11-01-2016,735.78
11-02-2016,744.43
11-03-2016,706.64
11-04-2016,706.38
11-05-2016,714.13
11-06-2016,711.66
11-07-2016,714.63
11-08-2016,741.23
11-09-2016,723.02
11-10-2016,719.79
11-11-2016,717.37
11-12-2016,705.61
11-13-2016,708.03
11-14-2016,716.93
11-15-2016,745.98
11-16-2016,751.91
11-17-2016,751.43
11-18-2016,755.34
11-19-2016,752.26
11-20-2016,744.33
11-21-2016,754.01
11-22-2016,750.93
11-23-2016,744.24
11-24-2016,741.25
11-25-2016,740.96
11-26-2016,738.29
11-27-2016,738.1
11-28-2016,737.04
11-29-2016,745.39
11-30-2016,755.48
12-01-2016,779.02
12-02-2016,772.32
12-03-2016,769.23
12-04-2016,769.18
12-05-2016,762.48
12-06-2016,769.02
12-07-2016,773.41
12-08-2016,773.48
12-09-2016,776.96
12-10-2016,774.16
12-11-2016,781.26
12-12-2016,790.33
12-13-2016,780.77
12-14-2016,780.27
12-15-2016,783.94
12-16-2016,791.57
12-17-2016,791.26
12-18-2016,793.73
12-19-2016,800.02
12-20-2016,833.13
12-21-2016,874.68
12-22-2016,920.26
12-23-2016,920.49
12-24-2016,895.24
12-25-2016,909.32
12-26-2016,937.91
12-27-2016,974.51
12-28-2016,982.57
12-29-2016,971.59
12-30-2016,965.47
12-31-2016,1001.61
01-01-2017,1031.68
01-02-2017,1035.47
01-03-2017,1148.54
01-04-2017,1150.63
01-05-2017,1027.42
01-06-2017,900.86
01-07-2017,936.13
01-08-2017,910.47
01-09-2017,911.32
01-10-2017,917.65
01-11-2017,828.21
01-12-2017,835.05
01-13-2017,838.9
01-14-2017,826.43
01-15-2017,836.66
01-16-2017,906.38
01-17-2017,913.67
01-18-2017,905.28
01-19-2017,901.49
01-20-2017,928.93
01-21-2017,938.38
01-22-2017,927.98
01-23-2017,925.61
01-24-2017,905.7
01-25-2017,919.32
01-26-2017,922.56
01-27-2017,921.89
01-28-2017,922.4
01-29-2017,922.35
01-30-2017,967.45
01-31-2017,986.57
02-01-2017,1009.13
02-02-2017,1023.72
02-03-2017,1041.04
02-04-2017,1033.66
02-05-2017,1030.6
02-06-2017,1054.1
02-07-2017,1069.23
02-08-2017,1073.03
02-09-2017,1005.6
02-10-2017,1014.32
02-11-2017,1007.82
02-12-2017,1007.61
02-13-2017,1013.8
02-14-2017,1010.93
02-15-2017,1040.28
02-16-2017,1057.39
02-17-2017,1063.21
02-18-2017,1056.48
02-19-2017,1081.78
02-20-2017,1123.03
02-21-2017,1132.25
02-22-2017,1181.6
02-23-2017,1211.74
02-24-2017,1180.01
02-25-2017,1177.47
02-26-2017,1195.82
02-27-2017,1208.22
02-28-2017,1225.04
03-01-2017,1286.98
03-01-2017,1286.98
03-02-2017,1291.35
03-03-2017,1285.78
03-04-2017,1273.28
03-05-2017,1280.61
03-06-2017,1280.89
03-07-2017,1242.04
03-08-2017,1206.97
03-09-2017,1330.42
03-10-2017,1202.69
03-11-2017,1235.46
03-12-2017,1245.63
03-13-2017,1255.52
03-14-2017,1256.95
03-15-2017,1260.24
03-16-2017,1174.9
03-17-2017,1103.61
03-18-2017,1063.67
03-19-2017,1057.5
03-20-2017,1125.53
03-21-2017,1121.88
03-22-2017,1062.79
03-23-2017,1038.38
03-24-2017,995.96
03-25-2017,1004.32
03-26-2017,1048.85
03-27-2017,1068.41
03-28-2017,1058.66
03-29-2017,1052.66
03-30-2017,1088.2
03-31-2017,1103.74
04-01-2017,1109.48
04-02-2017,1157.87
04-03-2017,1161.19
04-04-2017,1143.84
04-05-2017,1201.55
04-06-2017,1201.23
04-07-2017,1198.22
04-08-2017,1215.1
04-09-2017,1214.87
04-10-2017,1229.57
04-11-2017,1225.46
04-12-2017,1218.66
04-13-2017,1195.4
04-14-2017,1194.85
04-15-2017,1187.97
04-16-2017,1202.97
04-17-2017,1213.88
04-18-2017,1218.21
04-19-2017,1246.64
04-20-2017,1256.97
04-21-2017,1256.97
04-22-2017,1256.23
04-23-2017,1256.36
04-24-2017,1272.62
04-25-2017,1309.2
04-26-2017,1346.79
04-27-2017,1356.15
04-28-2017,1343.69
04-29-2017,1358.94
04-30-2017,1448.68
05-01-2017,1471.14
05-02-2017,1496.39
05-03-2017,1609.84
05-04-2017,1588.11
05-05-2017,1560.42
05-06-2017,1572.89
05-07-2017,1667.67
05-08-2017,1757.39
05-09-2017,1766.18
05-10-2017,1864.76
05-11-2017,1822.51
05-12-2017,1770.5
05-13-2017,1802.75
05-14-2017,1776.65
05-15-2017,1752.55
05-16-2017,1842.83
05-17-2017,1980.49
05-18-2017,1969.7
05-19-2017,2048.45
05-20-2017,2094.94
05-21-2017,2264.76
05-22-2017,2286.3
05-23-2017,2496.98
05-24-2017,2781.76
05-25-2017,2616.52
05-26-2017,2322.37
05-27-2017,2300.52
05-28-2017,2337.35
05-29-2017,2329.26
05-30-2017,2330.62
05-31-2017,2460.84
06-01-2017,2493.97
06-02-2017,2582.77
06-03-2017,2559.79
06-04-2017,2705.38
06-05-2017,2931.24
06-06-2017,2880.95
06-07-2017,2808.41
06-08-2017,2852.07
06-09-2017,2914.19
06-10-2017,2977.86
06-11-2017,2985.06
06-12-2017,2784.77
06-13-2017,2803.72
06-14-2017,2521.6
06-15-2017,2536.42
06-16-2017,2690.71
06-17-2017,2676.04
06-18-2017,2617.75
06-19-2017,2800.48
06-20-2017,2804.41
06-21-2017,2757.32
06-22-2017,2759.66
06-23-2017,2741.56
06-24-2017,2660.66
06-25-2017,2584.75
06-26-2017,2585.06
06-27-2017,2616.95
06-28-2017,2605.86
06-29-2017,2576.28
06-30-2017,2529.62
07-01-2017,2555.34
07-02-2017,2617.48
07-03-2017,2658.73
07-04-2017,2642.74
07-05-2017,2634.84
07-06-2017,2617.48
07-07-2017,2568.73
07-08-2017,2576.73
07-09-2017,2530.34
07-10-2017,2412.75
07-11-2017,2424.82
07-12-2017,2436.66
07-13-2017,2370.53
07-14-2017,2237.13
07-15-2017,2044.41
07-16-2017,2233.83
07-17-2017,2400.74
07-18-2017,2412.38
07-19-2017,2932.81
07-20-2017,2873.96
07-21-2017,2876.71
07-22-2017,2856.67
07-23-2017,2798.89
07-24-2017,2779.08
07-25-2017,2631.73
07-26-2017,2712.92
07-27-2017,2843.78
07-28-2017,2812.13
07-29-2017,2773.06
07-30-2017,2916.3
07-31-2017,2946.02
08-01-2017,2773.8
08-02-2017,2822.88
08-03-2017,2892.67
08-04-2017,3344.01
08-05-2017,3295.07
08-06-2017,3425.13
08-07-2017,3494.87
08-08-2017,3437.15
08-09-2017,3453.84
08-10-2017,3706.48
08-11-2017,3967.26
08-12-2017,4189.42
08-13-2017,4336.71
08-14-2017,4436.48
08-15-2017,4398.06
08-16-2017,4487.5
08-17-2017,4362.73
08-18-2017,4189.68
08-19-2017,4182.29
08-20-2017,4097.25
08-21-2017,4142.68
08-22-2017,4255.62
08-23-2017,4364.11
08-24-2017,4461.71
08-25-2017,4379.28
08-26-2017,4408.18
08-27-2017,4403.13
08-28-2017,4647.83
08-29-2017,4644.06
08-30-2017,4765.07
08-31-2017,4925.23
09-01-2017,4976.52
09-02-2017,4719.78
09-03-2017,4621.01
09-04-2017,4496.67
09-05-2017,4660.04
09-06-2017,4690.55
09-07-2017,4699.59
09-08-2017,4402.15
09-09-2017,4338.08
09-10-2017,4364.42
09-11-2017,4387.76
09-12-2017,4174.58
09-13-2017,3930.69
09-14-2017,3824.43
09-15-2017,3893.67
09-16-2017,3796.56
09-17-2017,4122.75
09-18-2017,4120.71
09-19-2017,4053.04
09-20-2017,3912.79
09-21-2017,3753.51
09-22-2017,3813.39
09-23-2017,3790.89
09-24-2017,3971.5
09-25-2017,3982.31
09-26-2017,4232.35
09-27-2017,4274.64
09-28-2017,4237.51
09-29-2017,4383.27
09-30-2017,4412.62
10-01-2017,4477.38
10-02-2017,4435.99
10-03-2017,4355.29
10-04-2017,4365.76
10-05-2017,4422.15
10-06-2017,4472.92
10-07-2017,4622.87
10-08-2017,4875.38
10-09-2017,4930
10-10-2017,4874.89
10-11-2017,5432.63
10-12-2017,5852.78
10-13-2017,5839.62
10-14-2017,5862.69
10-15-2017,5795.33
10-16-2017,5773.32
10-17-2017,5601.3
